course,University,Difficulty Level,Course Rating,Course URL,description,Skills
Write A Feature Length Screenplay For Film Or Television,Michigan State University,Beginner,4.8,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,"Write a Full Length Feature Film Script  In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. You�ll learn to break down the creative process into components, and you�ll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. Completing this project will increase your confidence in your ideas and abilities, and you�ll feel prepared to pitch your first script and get started on your next. This is a course designed to tap into your creativity and is based in ""Active Learning"". Most of the actual learning takes place within your own activities - that is, writing! You will learn by doing.  Here is a link to a TRAILER for the course. To view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0  Learner review: ""Love the approach Professor Wheeler takes towards this course. It's to the point, easy to follow, and very informative! Would definitely recommend it to anyone who is interested in taking a Screenplay Writing course!  The course curriculum is simple: We will adopt a professional writers room process in which you�ll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. That's how we do it in the real world. You will feel as if you were in a professional writers room yet no prior experience as a writer is required. I'm a proponent of Experiential Learning (Active Learning). My lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. I will guide you but I won�t ""show"" you how to write. I firmly believe that the only way to become a writer is to write, write, write.  Learner Review: ""I would like to thank this course instructor. It's an amazing course""  What you�ll need to get started: As mentioned above, no prior script writing experience is required. To begin with, any basic word processor will do. During week two, you can choose to download some free scriptwriting software such as Celtx or Trelby or you may choose to purchase Final Draft, the industry standard, or you can continue to use your word processor and do your own script formatting.   Learner Review: ""Now I am a writer!""  If you have any concerns regarding the protection of your original work, Coursera's privacy policy protects the learner's IP and you are indeed the sole owners of your work.",Drama  Comedy  peering  screenwriting  film  Document Review  dialogue  creative writing  Writing  unix shells arts-and-humanities music-and-art
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries,"In this course you�ll learn how to effectively retrieve data from a relational database table using the SQL language.   We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contacts�   names, addresses, email addresses, and phone numbers in a database. If you shop online, you�re viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. It�s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! That�s called �data retrieval�.   Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as �the language of relational databases�. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper.   You�ll be practicing writing SQL queries using SQLiteStudio.   Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it�s likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, you�ll even have a pretty good idea what the query might have looked like!  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management
COVID-19 - A clinical update,University of Florida,Beginner,4.7,https://www.coursera.org/learn/covid19clinicalupdate,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic. How did this disease develop? Where did it come from? How does it cause diseases?  The answers to these questions will be answered in the first video of module 1. The world has been startled and frightened by the rapid spread of this virus throughout the world. In Video 2  the epidemiology as presently understood is reviewed. This video will be periodically updated recognizing the rapid progression of the pandemic. Many want to know how does this disease present, what are the symptoms associated with COVID-19? How dangerous is COVID-19? Who is at risk of dying? All these questions are answered in Video 3. And finally how is this disease best treated and how can we slow the spread of the infection? These questions are answered in video 4.  In addition to the videos multiple choice questions are included to test your understanding and there is an epidemiology peer reviewed exercise designed to teach you how this infection is spread and to show the power of the tracing of cases and isolating those who are infected. The second peer review exercise will encourage you to create a campaign to shift your countries culture to embrace behaviors that can lead to suppression of the epidemic, behaviors that will save lives. After completing this course you will be armed with the knowledge and skills to make a difference and help to bend the curve.",disease  mechanical ventilation  vaccine  outbreak  epidemic  medical history  intubation  Epidemics  patient  social distancing life-sciences patient-care
General Pathophysiology,Saint Petersburg State University,Intermediate,4,https://www.coursera.org/learn/pathophysiology,"Dear listeners!  Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women.  The course describes subject and methods of Pathophysiology, its place within system of biomedical sciences and history.  It includes General Nosology (concept of health and disease, general etiology and pathogenesis, pathological processes and states, role of causal factors, conditions, reactivity and somatotype in pathology). It gives systematic of locally and centrally driven typical pathological processes: arterial, venous and combined hyperemiae, stasis, inflammation, immunopathological processes (including allergy and autoimmune disorders) acute phase response, fever, stress, shock, etc. Course deals with functional, metabolic and informational aspects of typical pathologic processes, like disorders of signaling, reception, post � receptor translation, programming and program archiving, conflicts of programs in living systems. It contains the consequent analysis of the injury and defensive responses as regards separate cells, organs and tissues and the whole organism. The lectures based on author�s original three-volumed textbook and workshop in Pathophysiology republished in Russia many times.",medicine  biomedical sciences  microcirculation  physiology  endocrinology  biochemistry  inflammations  pathophysiology  pathology  internal medicine life-sciences basic-science
Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/android-programming-2,"This course introduces you to the design and implementation of Android applications for mobile devices. You will build upon concepts from the prior course, including handling notifications, using multimedia and graphics and incorporating touch and gestures into your apps.",notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development
Global Disease Masterclass: Global Disease Distribution,Imperial College London,Beginner,4.5,https://www.coursera.org/learn/global-disease-distribution,"The Global Diseases Masterclass is part of the full-degree Masters of Public Health that the School of Public Health. By the end of this specialisation, our aim is that students will be able to critically apply epidemiological concepts to major global diseases and be able to appraise and recommend policy options to combat them.  Global Diseases Masterclass: Global Disease Distribution In this course, we will introduce students to the most important trends and pattern in health and disease on a global scale. We will look at how health has improved over time, examine the trends for the future and look at between and within-country inequality in health. We will look at the methods that lie behind those statistics and think about different ways in which health can be conceptualised and measured. The course ends by considering the reason that might lie behind the patterns that we�ve pointed out and introducing the distinction between direct and structural interventions.The course ends by considering the reasons that might lie behind the patterns that we�ve described and introducing the concept of structural interventions.",global  Determinants  General Statistics  Risk  Studentized Residual  health data  risk factors  Risk Factor  Chi-Squared Distribution  disease life-sciences public-health
Qualitative Research Methods,University of Amsterdam,Advanced,4.5,https://www.coursera.org/learn/qualitative-methods,"In this course you will be introduced to the basic ideas behind the qualitative research in social science. You will learn about data collection, description, analysis and interpretation in qualitative research. Qualitative research often involves an iterative process. We will focus on the ingredients required for this process: data collection and analysis. You won't learn how to use qualitative methods by just watching video's, so we put much stress on collecting data through observation and interviewing and on analysing and interpreting the collected data in other assignments. Obviously, the most important concepts in qualitative research will be discussed, just as we will discuss quality criteria, good practices, ethics, writing some methods of analysis, and mixing methods. We hope to take away some prejudice, and enthuse many students for qualitative research.",interview  analysis  Writing  Qualitative Analysis  Data Analysis  qualitative research  research methods  Stata  observation  quantitative research social-sciences governance-and-society
Wireshark for Basic Network Security Analysis,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/wireshark-for-network-security,"In this 1-hour 30-minutes long project-based course, you will learn how to use Wireshark to capture the Network Traffic you need and analyze it securely. You will have a better understanding of encrypted and unencrypted traffic and how to differentiate between them. You will dig deeply into unencrypted protocols such as RADIUS, HTTP, DNS and Telnet by generating the Traffic of each of them and capturing it yourself. Also you will generate, capture and look into secure and encrypted protocols such as HTTPS and SSH. Additionally, you will learn how to capture HTTPS Traffic and decrypt them by using a pre-master secret key.  Note: This project works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",https  telnet  key (cryptography)  plaintext  authentication  Cryptography  encryption  domain name system  password  Wireshark information-technology security
Setting Expectations & Assessing Performance Issues,"University of California, Davis",Intermediate,4.7,https://www.coursera.org/learn/coaching-expectations-performance,"If you don�t know where you are going, any road will take you there. One of the most important roles of a manager is to ensure everyone knows the destination. The most effective managers set expectations and assess their employees� performance against those expectations, and take a coaching approach to helping them get to the destination. That�s exactly what you�ll learn to do in this course!  You will explore how to collaboratively develop expectations with those you lead. When you encounter expectations that are not being met, you�ll learn how to use ""Coaching Algebra"" to determine the underlying issues that are impeding performance, and how to respond as a manger-coach.    We look forward to you joining us as we explore these essential coaching topics!",Average  mentorship  performance  leadership  coaching  employment  Leadership and Management  Human Resources  process  vision statement business leadership-and-management
Forensic Accounting and Fraud Examination,West Virginia University,Beginner,4.7,https://www.coursera.org/learn/forensic-accounting,"Everyday across the world, thousands of businesses are victimized by fraud.  Who commits these bad acts?  Why? And, how? In this course we are going to help you answer the questions: who commits fraud, why and how.  We�ll also help you develop skills for catching them.",Audit  Accounting  internal control  internality  forensics  fraud deterrence  analysis  forensic accounting  Fraud Detection  Fraud Investigation business finance
